Name,Instrument,Teachers,Schools,Competitions,Festivals,Chamber Groups,Chamber Group Partners,When Began Current
William Polk,Violinist,Sally OReilly; Camilla Wicks,Louisiana State University; University of Minnesota,,,Philadelphia Chamber Ensemble; Minneapolis Quartet,Kerri Ryan; Vali Phillips; Joseph Johnson,2007
Julia Li,Violinist,Shengyin Huang; Bingsun Yang; Kenneth Goldsmith; Pamela Frank; Arnold Steinhardt; Shmuel Ashkenasi; Ronald Copes,Curtis Institute of Music; Juilliard School,,Artosphere Festival,Dolce Suono Ensemble,Roberto Daz; Marcy Rosen; Jonathan Biss,2014
Kimberly Fisher,violin,Lawrence Fisher; Yumi Ninomiya Scott; Aaron Rosand; David Cerone; Jascha Brodsky,The Philadelphia Orchestra,The Philadelphia Orchestra's C. Hartman Kuhn Award (2017),Philadelphia International Music Festival (PIMF),,,1992
Mei Ching Huang,Violinist,Keng-Yuen Tseng; Robert Mann; Midori Goto; David Cerone; Linda Cerone,Peabody Conservatory of Johns Hopkins University; Juilliard School; USCs Thornton School of Music,Marbury Violin Competition; National Symphony Orchestra Young Soloists Competition; Hellam Young Artists Competition; Michael Hill International Violin Competition,Lucerne Festival Orchestra,Voyage String Quartet; New York Philharmonic Ensembles,"National Sun Yat-sen University, Taiwan",2015
Paul Roby,Violin,Mary Crowder-Hess; Roman Totenberg; Yumi Ninomiya Scott; Jascha Brodsky,Curtis Institute of Music,Wieniawski-Lipinski Competition,Schleswig-Holstein Festival,Salzau Quartet,Unknown,2000
Dara Morales,Violinist,Kurt Sassmannshaus; Helen Kwalwasser; Dorothy DeLay,University of Cincinnati College-Conservatory of Music,,Philadelphia International Music Festival; Grand Teton Music Festival; Park City Chamber Music Festival; Intermezzo Chamber Series (Salt Lake City),,Peter Oundjian; Henry Meyer; members of the Tokyo Quartet,2007
Davyd Booth,harpsichordist,Jascha Brodsky; Susan Starr,New School of Music,,,Amerita Chamber Ensemble; Wister String Quartet,Amerita Chamber Ensemble,1998
Philip Kates,Violinist,Henry Kates; Jascha Brodsky; Sally Thomas; Norman Carol; Joseph dePasquale,,,,Liebesfreud,Norbert Brainin; Isadore Cohen; Felix Galimir; Josef Gingold; Alexander Schneider; Vladimir Sokoloff; Susan Starr; Arnold Steinhardt; Isaac Stern; Michael Tree,1980
Boris Balter,Violinist,,Stolyarsky special music school in Odessa; Odessa State Conservatory,,,,,1985
Paul Arnold,violin,,Curtis Institute of Music; National Orchestral Institute at the University of Maryland,,National Youth Orchestra,The Philadelphia Orchestra; Emerson Quartet; New Arts Trio; Yefim Bronfman; Christoph Eschenbach; Martha Argerich; Truls Mrk; Society Hill Quintet; Dalihapa Ensemble,Emerson Quartet; New Arts Trio; Yefim Bronfman; Christoph Eschenbach; Martha Argerich; Truls Mrk,1985
Amy Oshiro-Morales,violin,Almita Vamos; Roland Vamos; Robert Mann,Oberlin Conservatory; Juilliard School,debut with Chicago Symphony at age 12,Sun Valley Summer Symphony; Cactus Pear Music Festival; Grand Teton Music Festival; National Orchestral Institute; Innsbrook Institute,,,2008
Yu-Ting Chen,Violin,Ida Kavafian; Shmuel Ashkenasi; Chun-Yinh Lee; I-Ching Li,Curtis Institute of Music,Menuhin Violin Competition; Stradivarius International Violin Competition; Taiwan National Music Competitions; 1st Amadeus Musical Competition; 5th Asian Rising Star Competition; 16th Europe FLAME Competition; 5th Osaka International Music Competition,1st Amadeus Musical Competition,Royal Academy Symphony; Cape Symphony; Mihail Jora State Philharmonic; Macau Youth Symphony; Taipei Symphony,,2017
Willa Finck,violin,Mikhail Kopelman; Ida Bieler; Sarah Johnson,Eastman School of Music; University of North Carolina School of the Arts,,Verbier Festival Orchestra,The Forget-Me-Nots; Copper Hill,,2023
Jeoung-Yin Kim,Violinist,Shmuel Ashkenasi; Yumi Ninomiya Scott; Hyo Kang; Toyoshima Yasushi; Hiroaki Matsuno; Hirono Oka,Curtis Institute of Music; The Juilliard School,,Yellow Barns Young Artists Program; Sarasota Music Festival; American Conservatory at Fontainebleau; Deer Valley Music Festival; Lake George Music Festival; Saito Kinen Festival,International Sejong Soloists,Ida Kavafian; Carter Brey; Steven Tenenbom; Raphael Hillyer,2017
Choong-Jin (C.J.) Chang,viola,Jascha Brodsky; Joseph dePasquale,Juilliard School of Music; Esther Boyer College of Music of Temple University; Curtis Institute of Music,Yook Young National Competition,Aspen Music Festival,Johannes Quartet,Guarneri Quartet,2006
Kerri Ryan,Viola,Karen Tuttle; Lee Snyder; Jascha Brodsky; Rafael Druian; Arnold Steinhardt,Curtis Institute of Music; Cleveland Institute of Music,,,Minneapolis Quartet,William Polk,2007
Kirsten Johnson,Viola,Michael Tree; Samuel Rhodes; Almita Vamos; Roland Vamos; James Dunham,Curtis Institute of Music; Juilliard School,Washington International Competition (1997),Bargemusic; Caramoor International Music Festival; Chamber Music Society of Lincoln Center; Santa Fe Chamber Music Festival; Bridgehampton Chamber Music Festival; Cape & Islands Chamber Music Festival; Pensacola Chamber Music Festival; Spoleto Festival; Bay Chamber concerts; Marlboro Music Festival,Orion String Quartet; Vermeer String Quartet; St. Lawrence String Quartet; Colorado String Quartet,,2007
Renard Edwards,viola,Leonard Mogill; Max Aronoff; Edgar Ortenberg; Karen Tuttle,Settlement Music School; New School of Music,,,,,
Anna Marie Ahn Petersen,viola,Joseph dePasquale,Curtis Institute of Music,,Jeunesses Musicales,Brandenburg Ensemble; Jupiter Symphony,,1992
Judy L. Geist,viola,Joseph dePasquale,Curtis Institute of Music,,Mostly Mozart Festival; Grand Teton Music Festival; Madeira Bach Festival,Society Hill String Quintet,Chantal Juillet; Emanuel Ax; Pamela Frank; Jean-Yves Thibaudet; Christoph Eschenbach,1983
David Nicastro,viola,Yuri Mazurkevich; Abraham Skernick; Atar Arad; Joseph dePasquale,Boston University; Indiana University,,,The Philadelphia Orchestra,,1995
Burchard Tang,viola,Joseph dePasquale; Choong-Jin Chang,Curtis Institute of Music,Philadelphia Orchestra Albert M. Greenfield Student Competition; Temple University Preparatory Division Concerto Competition; Fischoff Competition,New York String Seminar,Brandenburg Ensemble,,1999
Che-Hung Chen,Viola,Joseph dePasquale,Curtis Institute of Music,Seventh Banff International String Quartet Competition; Taiwan National Instrumental Competition,Marlboro Music Festival; Kingston Chamber Music Festival; Ravinia; Caramoor; Saratoga; Bridgehampton; Music from Angel Fire,Daedalus Quartet; Clarosa Piano Quartet; Quartet Iris,Natalie Zhu; Juliette Kang; Clancy Newman; Julia Li; Christine Lim; Yumi Kendall,2019
Marvin Moon,violist,Joseph dePasquale; Choong-Jin Chang,Temple University Music Preparatory Division; Curtis Institute of Music,,Music from Angel Fire (NM); Summerfest at La Jolla (CA); Fourth International Chamber Music Encounters in Jerusalem; Kneisel Hall Chamber Music Festival (ME); Sarasota Chamber Music Festival,Koryo String Quartet,,2007
Meng Wang,Viola,Hsin-yun Huang; Michael Tree; Karen Tuttle; Roberto Daz,Curtis Institute of Music,,Verbier Music Festival; Marlboro Music Festival; Music Academy of the West; Sarasota Music Festival,,Yo-Yo Ma; Joshua Bell; Lars Vogt; Sharon Robinson; Cho-Liang Lin; Jaime Laredo; Joseph Silverstein; Pinchas Zukerman; Lang Lang; Barbara Westphal; Bono,2017
Priscilla Lee,Cello,Ronald Leonard; David Soyer; Timothy Eddy,Colburn School of Performing Arts; Curtis Institute of Music; Mannes College of Music,,Marlboro; Santa Fe; Seattle; Delaware; St. Denis in Paris; Kingston; Lexington; Taos,Chamber Music Society Two; Trio Cavatina,Lincoln Center; Burchard Tang,2016
Hai-Ye Ni,cello,Irene Sharp; Joel Krosnick; William Pleeth,San Francisco Conservatory; Juilliard School; Shanghai Conservatory,Naumburg International Cello Competition; International Paulo Cello Competition,Sarasota Music Festival; Chamber Music Dolomiti; La Jolla SummerFest; Kuhmo; Spoleto; Aspen; Pacific Music Festival,Philadelphia Chamber Orchestra,Lang Lang,2006
Richard Harlow,Cello,Oliver Edel; Samuel Mayes,University of Michigan,,,N/A,,1976
Yumi Kendall,cello,David Soyer; Peter Wiley; David Hardy,Curtis Institute of Music,National Symphony Orchestra debut at the Kennedy Center,Music from Angel Fire; Marlboro Festival; Kingston Chamber Music Festival,East Coast Chamber Orchestra; Smithsonian's 21st-Century Consort; Philadelphia Chamber Music Society,Toronto Symphony; Boston Symphony; St. Paul Chamber Orchestra; Hyogo Performing Arts Center Orchestra,2004
Kathryn Picht Read,cello,George Neikrug,University of Wisconsin; University of Illinois; Boston University,,Grand Teton Music Festival; Festival of the Youth Symphony Orchestra of the Americas,,,1979
Robert Cafaro,cello,Juilliard Preparatory Division; Juilliard School,Juilliard School,,Hartwick Summer Music Festival; Strings International; Summer Strings Seminar,Rachmaninov Trio,,1985
John Koen,cello,David Soyer; Peter Wiley; Orlando Cole,Curtis Institute of Music; New School of Music,,Schleswig-Holstein Music Festival,Mondrian Ensemble; Network for New Music; 1807 & Friends Chamber Music Society,Guarneri Quartet,1990
Derek Barnes,Cello,Orlando Cole; David Soyer; William Stokking,Curtis Institute of Music,Tanglewood Fellowship program,Tanglewood Music Center Symphony; Taos School of Music; Encore School for Strings; Congress of Strings,Santa Fe Opera Orchestra; New York String Orchestra,Christoph Eschenbach; Nadja Salerno-Sonnenberg; Isaac Stern; Sarah Chang; Meichen Barnes,1995
Ohad Bar-David,cellist,Uzi Wiesel; Leonard Rose; Max Rudolph,Juilliard School; Curtis Institute of Music,1976 International Villa Lobos Competition; 1984 WFLN Young Instrumentalist Competition,Eastern Music Festival,Concerto Soloists of Philadelphia; The Philadelphia Orchestra,Christoph Eschenbach; Leon Fleisher; Jaime Laredo; Rudolph Buchbinder,2003
Alex Veltman,cellist,Harvey Shapiro; Aldo Parisot,Central Music School; Juilliard School; Yale University School of Music,"numerous competitions, awards, and scholarships in the New York area",Bedford Springs Festival; Saratoga Springs Summer Festival; Kneisel Hall Chamber Music Festival,,Chantal Juillet; Roberto Daz; Nikolaj Szeps-Znaider; Elmar Oliveira,1996
Gabriel Polinsky,Double Bass,Harold Robinson; Edgar Meyer,Curtis Institute of Music,The Philadelphia Orchestras Albert M. Greenfield Student Competition,Tanglewood Music Center; New York String Orchestra Seminar; Lucerne Festival,Jupiter Chamber Players,,2022
Joseph H. Conyers,bass,Harold Robinson; Edgar Meyer,Curtis Institute of Music,Sphinx Organization,Chamber Music Society of Lincoln Center,Dubhe,,2010
David Fay,bass,Roger Scott,Curtis Institute of Music,,,Manitoba Chamber Orchestra,,1984
Nathaniel West,Double Bass,Harold Robinson; Edgar Meyer,Curtis Institute of Music,,Marlboro Music Festival; Twickenham Fest; Vivo Music Festival; Luzerne Music Festival,Ensemble39; Jupiter Chamber Players,,2017
Duane Rosengard,bassist,,Interlochen Arts Academy; Cleveland Institute of Music,,,,,1986
Michael Franz,double bass,William Tilley,Eastman School of Music; Bard College,Doublestop Foundation Competition,New York String Orchestra Seminar; Verbier Festival Orchestra; Moritzburg Festival Academy; Bard Music Festival,Block X Block,,2022
Jeffrey Khaner,flute,Julius Baker,Juilliard School,Solti Orchestral Project at Carnegie Hall,New World Symphony; Pacific Music and Hamamatsu festivals; Sarasota Festival; Grand Teton Festival; Lake Placid Institute,Syrinx Trio,Roberto Daz; Elizabeth Hainen,1990
Patrick Williams,Flute,Mark Sparks; Nancy Stagnitta; Michel Debost; Jeffrey Khaner,Interlochen Arts Academy High School; Oberlin College and Conservatory of Music; Curtis Institute of Music,Aspen Music Festival Fellowship,Aspen Music Festival; Pacific Music Festival; Music at Angel Fire,Steamboat Orchestra,,2018
Olivia Staton,Flute,Jeffrey Khaner; Jennifer Lapple; Aaron Goldman,Juilliard School,Richmond Flute Competition; Flute Society of Washington Competition,Tanglewood Music Center; Aspen Music Festival and School,Juilliard Orchestra; AXIOM; New Juilliard Ensemble; Aspen Contemporary Ensemble,The Philadelphia Orchestra; Sibelius Academy; New York Philharmonic; Aspen Conducting Academy,2018
Erica Peel,Piccoloist,Jill Felber; Christine Nield-Capote; MaryAnn Archer,Peabody Conservatory; University of Miami,,Flute Society of Greater Philadelphia; Music School of Delawares FluteFest; San Diego Flute Guild; Los Angeles Flute Guild,Omaha Chamber Music Society; Philadelphia Chamber Music Society; Art of Elan,,2017
Peter Smith,Oboe,Richard Woodhams; Louis Rosenblatt,Curtis Institute of Music,,Absolutely Mozart Festival,Conwell Woodwind Quintet,,1991
Jonathan Blumenfeld,Oboe,John de Lancie; Richard Woodhams,Haverford College; Curtis Institute of Music; Temple University,,Tanglewood; Blossom; Spoleto,,,1986
Elizabeth Starr Masoudnia,English hornist,John de Lancie; Louis Rosenblatt,Curtis Institute of Music,,Marlboro Music Festival,Concerto Soloists of Philadelphia; New York Symphonic Ensemble,,1995
Ricardo Morales,clarinet,,Escuela Libre de Musica,,Santa Fe Chamber Music Festival; Philadelphia Chamber Music Society; Seattle Chamber Music Summer Festival; Chamber Music Society of Lincoln Center,,Kalichstein-Laredo-Robinson Trio; Pacifica Quartet; Mito Chamber Orchestra (Japan),2003
Samuel Caviezel,clarinet,Laurie DeLuca; Deborah Chodacki; Donald Montanaro,Interlochen Arts Academy; Curtis Institute of Music,,,Philadelphia Chamber Ensemble,,1994
Paul R. Demers,clarinet,John Bruce Yeh; Larry Combs,University of Southern Maine; DePaul University,,Lake Champlain Chamber Music Festival; Saratoga Chamber Music Festival; Kingston Chamber Music Festival; Bravo! Vail Chamber Music Series,Dolce Suono Ensemble; Network for New Music,,2006
Socrates Villegas,clarinet,Ricardo Morales; Philippe Cuper; Marina Calva; Joaquin Valdepeas,Temple University; Versailles Conservatory; National Conservatory in Mexico City; Aspen Music Festival and School,"Mexican National Clarinet Contest (2003, 2004); 14th European Music Competition at Amiens, France (2008); Young Artist Competition (International Clarinet Association, 2008); Temple University Concerto Competition (2015)",Festival de Msica de Coyotepec,,,2016
Daniel Matsukawa,bassoon,Alan Futterman; Harold Goltzer; Bernard Garfield,Juilliard School; Curtis Institute of Music,Tchaikovsky Competition; ARD Competition; Muri Competition,Pacific Music Festival,Independence Sinfonia Orchestra,,2000
Mark Gigliotti,Bassoon,Bernard Garfield; Sol Schoenbach; Shirley Curtiss; John Shamlian,Curtis Institute of Music,,,,,1982
Holly Blake,bassoon,Bernard Garfield,Curtis Institute of Music; Temple University,Mozart Orchestra; West Jersey Chamber Orchestra; Reading Symphony; Lower Merion Symphony,Saratoga Chamber Music Festival,Philadelphia Orchestra Chamber Music series,Philadelphia Virtuosi Chamber Orchestra,1992
Angela Anderson Smith,bassoon,Artemus Edwards; Norman Herzberg; Dennis Michel; Matthew Karr,University of New Mexico; University of Southern California,Carmel chamber music competition; Coleman chamber music competition,Yale Summer School of Music and Art; Music Academy of the West Summer Festival; Midsummer Mozart Festival,The Philadelphia Orchestra Chamber Music Series; Network for New Music; Conwell Woodwind Quintet,Temple University faculty members,1997
Jeffrey Lang,horn,Juilliard School; Temple University,Curtis Institute of Music,,Kingston Chamber Music Festival; Bard Summerscape; OK Mozart; Spoleto Festival,,Bella Davidovitch; Diane Walsh; Simone Dinnerstein; Melvin Chen; Natalie Zhu; Juliette Kang; Israel Piano Trio; Wister Quartet; Canadian Brass; Philadelphia Chamber Ensemble; Chamber Music Society of Lincoln Center,0
Christopher Dwyer,horn,Eli Epstein; Dale Clevenger,Cleveland Institute of Music,,Santa Fe Chamber Music Festival; Santa Fe Opera; Sarasota Opera; Music from Angel Fire; Bellingham; Norfolk; National Repertory Orchestra,,,2020
Jennifer Montone,horn,Julie Landsman; Edwin Thayer,Juilliard School,Avery Fisher Career Grant (2006); Paxman Young Horn Player of the Year Award (1996),Aspen Music Festival and School; Santa Fe Chamber Music Festival; Bravo! Vail Chamber Music Festival; Lake Champlain Chamber Music Festival; La Jolla Chamber Music Festival; Bay Chamber Concerts; Spoleto Italy Chamber Music Festival; Marlboro Music Festival,Chamber Music Society of Lincoln Center; Philadelphia Chamber Music Society; National Brass Ensemble; Strings Music Festival; Bravo! Vail Chamber Music Festival; Lake Champlain Chamber Music Festival; La Jolla Chamber Music Festival; Bay Chamber Concerts; Spoleto Italy Chamber Music Festival; Marlboro Music Festival,Timothy Ressler,2006
Chelsea McFarland,French horn,Jennifer Montone; Jeffrey Lang,Curtis Institute of Music,,National Repertory Orchestra; Music Academy of the West; Le Domaine Forget de Charlevoix; Brevard Summer Music Institute,Atlanta Symphony Orchestras Pre-Concert Chamber Music Series,,2022
Jeffrey Curnow,trumpet,Seymour Rosenfeld,Temple University; Wichita State University,Concerto Competition Soloist at the Philadelphia Academy of Music,,Empire Brass Quintet,,2001
Shelley Showers,French horn,Mason Jones; Myron Bloom; Nolan Miller; Randy Gardner; Stephanie Fauber,Curtis Institute of Music,solo contests in Texas at Southern Methodist University; in California at the Music Academy of the West,Deer Valley International Chamber Music Festival; Nova Series; Utah Music Festival; Aspen Music Festival; Kent/Blossom Music Festival,Conwell Woodwind Quintet,,1997
Ernesto Tovar Torres,horn,William VerMeulen; Lanette Lopez-Compton,Rice Universitys Shepherd School of Music; Oklahoma State University,2013 International Horn Competition of America,Steamboat Springs String Festival; Bellingham Festival Orchestra; Eastern Music Festival; Texas Music Festival; Banff Master Class for Strings and Winds; Spoleto USA,,,2017
Nitzan Haroz,Trombone,Eli Aharoni; Mitchel Ross; Joseph Alessi,Juilliard School,Franois Shapira Competition,,New York Brass Ensemble; Philadelphia Brass Ensemble; Israel Brass Ensemble; Rishon-Le Zion Brass Quintet,Adina Haroz,2014
Anthony Prisk,trumpet,Ray Sasaki; Michael Ewald; Paul Merkelo,University of Illinois; McGill University,International Trumpet Guild (2 wins); National Trumpet Competition (Second Prize),Classical Tahoe; Cabrillo Music Festival; Spoleto Festival USA; Tanglewood Music Center; Pacific Music Festival; Music Academy of the West; Aspen Music Festival,The Philadelphia Orchestra; Houston Symphony; New World Symphony; Spoleto Festival Orchestra; McGill Symphony,,2013
Matthew Vaughn,Trombone,David Brumfield; M. Dee Stewart; Dr. Milton Stevens,Indiana University; George Mason University,Eastern Trombone Workshop solo competition,Bar Harbor Brass Week,Brass chamber music,,1999
Blair Bollinger,bass trombone,Charles Vernon; Glenn Dodson,Curtis Institute of Music,1986 Philadelphia Orchestra Senior Student Competition,National Orchestral Institute; Grand Teton Music Festival; Eastern Music Festival; Aspen Music Festival; Bravo! Vail Music Festival; Classical Tahoe; New York State Summer School for the Arts; Luzerne Music Center; Bar Harbor Brass Week,Four of a Kind,Canadian Brass,1986
Carol Jantsch,tuba,Fritz Kaenzig,University of Michigan; Interlochen Arts Academy,,"Interlochen Arts Camp; various brass festivals in Finland, Germany, Canada, and the United States",Tubular,,2006
Don Liuzzi,percussion,Alan Abel; Charles Owen; John Soroka,University of Michigan; Temple University,,Saito Kinen Festival Orchestra; Spoleto Festival Orchestra; Tanglewood Fellow,Philadelphia Percussion Project; Philadelphia Orchestra percussion group (POPG),,1994
Christopher Deviney,percussion,Gary Werdesheim; Alan Abel,Florida State University; Temple University,,Aspen Music Festival; Tanglewood Institute,,Don Liuzzi; Emanuel Ax; She-e Wu,2003
Angela Zator Nelson,percussion,Michael Burritt; James Ross; Patricia Dash; Alan Abel,Northwestern Universitys School of Music; Temple University,,Tanglewood Music Festival; Pacific Music Festival; Peninsula Music Festival; Saratoga Chamber Music Festival,Orchestra 2001; Network for New Music; Philadelphia Orchestra Percussion Group,David Nelson,1999
Angela Zator Nelson,percussionist,James Ross; Patricia Dash; Michael Burritt; Alan Abel,Northwestern University School of Music; Temple University,,Tanglewood Music Festival; Pacific Music Festival; Peninsula Music Festival; Saratoga Chamber Music Festival,Orchestra 2001; Network for New Music; Philadelphia Orchestra Percussion Group; Bob Beach Trio,David Nelson,1999
Charlie Rosmarin,percussion,Dan Druckman; Will Hudgins; Ted Atkatz; Matt Strauss,Juilliard School; New England Conservatory; Colburn School; Rice University,New World Symphony fellowship,Tanglewood Music Center; National Repertory Orchestra; Music Academy of the West; Alan Abel Orchestral Percussion Seminar; Spoleto Music Festival; Texas Music Festival; National Orchestral Institute; Aspen Music Festival,Trinity Wall Street Baroque Ensemble; Clarion Orchestra; Yale Schola Cantorum; New Vintage Baroque; Juilliard415,New Yorks Trinity Wall Street Baroque Ensemble; Clarion Orchestra; Yale Schola Cantorum; New Vintage Baroque; Juilliard School,2024
Kiyoko Takeuti,pianist,Tanya Ury; Max Egger; Soulima Stravinsky; Rudolf Serkin; Mieczyslaw Horszowski,Curtis Institute of Music,J.S. Bach International Competition,Marlboro Music Festival; Lucerne Music Festival,Philadelphia Chamber Ensemble,,1988
Davyd Booth,harpsichordist,Jascha Brodsky; Susan Starr,New School of Music,,,Amerita Chamber Ensemble; Wister String Quartet,,1998
Elizabeth Hainen,harp,Susann McDonald,Indiana University School of Music,American String Teachers Association; Chicago Symphony Civic Orchestra; First USA International Harp Competition,Cartagena; Grand Tetons; Kingston; Marlboro; Schsisch Bhmisches; World Harp Congress; Saxon-Bohemia Music Festival,Philadelphia Chamber Music Society; Juilliard String Quartet,,2000
Holly Matthews,bass clarinet,,Kutztown University; Pittsburgh University,,,,,2023
Jaap van Zweden,conductor,"Jaap van Zweden began his conducting career almost 20 years later, in 1996.; Jaap van Zweden was appointed the youngest-ever concertmaster of Amsterdams Royal Concertgebouw Orchestra at age 19.",Born in Amsterdam.,,Appeared in the residency at the Usedom Music Festival.,,,2018
Kurt Masur,conductor,,,,,,,2007
Leonard Bernstein,Conductor,Serge Koussevitzky,Brandeis University; Berkshire Music Center,,,,,1958
Frank Huang,Violin,Fredell Lack; Donald Weilerstein; Robert Mann,University of Houston; Cleveland Institute of Music; The Juilliard School,Walter W. Naumburg Foundations Violin Competition; Hannover International Violin Competition; Premio Paganini International Violin Competition; Indianapolis International Violin Competition; Kingsville International Competition; Irving M. Klein Competition; DAngelo International Competition,Marlboro Music Festival; Ravinias Steans Institute; Seattle Chamber Music Festival; Caramoor,New York Philharmonic String Quartet; Ying Quartet,,2015
Michelle Kim,Violinist,Robert Lipsett,University of Southern Californias Thornton School of Music,,Santa Fe Chamber Music Festival; La Jolla Chamber Music Festival; Strings in the Mountain; Bravo! Vail,Rossetti String Quartet,Cho Liang Lin; Christian Tetzlaff; Pinchas Zukerman; Mstislav Rostropovich; Lynn Harrell; Gary Hoffman; Lang Lang; Yefim Bronfman,2001
Sheryl Staples,violin,Robert Lipsett; Heiichiro Ohyama,USC Thornton School of Music,,La Jolla Music Societys SummerFest; Boston Chamber Music Society; Salt Bay Chamberfest; Santa Fe Chamber Music Festival; Mainly Mozart Chamber Music Festival; Seattle Chamber Music Festival; Aspen Chamber Music Festival; Sarasota Chamber Music Festival; Marthas Vineyard Chamber Music Societys Summer Festival; Strings Music Chamber Music Festival; Brightstar Music Chamber Music Festival,New York Philharmonic String Quartet,Barry Centanni,1998
Hae-Young Ham,Violinist,Margaret Pardee; Josef Gingold; Felix Galimir,The Juilliard School,New York Philharmonics Young Artists Competition,Bahnhof Rolandseck Festival,New York Philharmonic Ensembles,,1986
Lisa GiHae Kim,violin,,,Yehudi Menuhin International Violin Competition; Irving M. Klein International String Competition; Kingsville International Young Performers Competition,Taos Chamber Music Festival; Aspen Music Festival; Sarasota Music Festival,American Chamber Players; International Sejong Soloists,,2003
Quan Ge,Violinist,Lei Fang; Ida Kavafian; Pamela Frank; Jaime Laredo; Yumi Scott; David Chan,Shanghai Conservatory of Music; Curtis Institute of Music; The Juilliard School,China National Violin Competition; Jeunesses International Music Competition,Bravo! Vail Music Festival; Taos School of Music; Kneisel Hall Chamber Music Festival; New York String Orchestra Seminar; Encore School for Strings,New York Philharmonic Ensembles,Merkin Hall; SubCulture; National Sawdust,2009
Kerry McDermott,violinist,Raphael Bronstein,Yale College; Manhattan School of Music,Montreal International Competition; International Tchaikovsky Competition,Chamber Music Northwest; Bravo! Vail; Newport; Honest Brook; Newport of the Hamptons; Park City,McDermott Trio,Anne-Marie McDermott; Maureen McDermott,0
Kuan Cheng Lu,Violinist,Glenn Dicterow; Lisa Kim; Yoko Takebe; Roland Vamos; Almita Vamos; Daniel Phillips; Julia Bushkova; Chung Chih Lu,"Oberlin College; Manhattan School of Music; Graduate Center, City University of New York",Taiwan National Violin Competition; ASTA string competition; Raphael Bronstein Award; Taiwan Chi-Mei Corporations Outstanding Young Artist award,Music Academy of the West; Verbier Orchestra; Pacific Music Festival,New York Philharmonic Ensembles; Verbier Orchestra; Pacific Music Festival; Music Academy of the West; Oberlin Orchestra; Oberlin Contemporary Music Ensemble; Manhattan Chamber Sinfonia; Manhattan Symphony; Manhattan Philharmonia,Merkin Hall,2004
Su Hyun Park,Violinist,Hai-Yup Yang; Ho-Young Pi; Seong-Yeon Cho; Hyo Kang; Ronald Copes; Donald Weilerstein; Li Lin; Glenn Dicterow; Lisa Kim,The Juilliard School; Manhattan School of Music,Taegu Broadcasting Corporation Music Competition; Riverside Symphonias Caprio Young Artists; Crescendo International Music; Monmouth Symphonys Goldwasser Young Artist Concerto; Kumho Prodigy Music,Music Alps Festival Orchestra,New York Classical Players; Music Academy of the West Orchestra,,2017
Anna Rabinova,Violin,Leonid Kogan; Igor Bezrodnyi,Tchaikovsky Conservatory; The Juilliard School,16th International Violin Competition in Belgrade; Bach International Competition in Leipzig,Schleswig Holstein Festival; Berlin Chamber Music Festival; Long Island Mozart Festival; Music Festival of the Hamptons; Tanglewood; Caramoor,,,1994
Fiona Simon,Violinist,Szymon Goldberg,England,Carl Flesch; Jacques Thibaud,Londons Young Artist of the Year,Vanderspar String Trio; Simon String Quartet,,1985
Audrey Wright,Violin,David Salness; Lucy Chapman; Bayla Keyes; Magdalena Richter,New England Conservatory of Music; University of Maryland,Verbier Festival (since 2012),Verbier Festival,Excelsa Quartet; Fellowship String Quartet at the University of Maryland,Yundu Wang,2022
Sharon Yamada,violin,Szymon Goldberg; Syoko Aki,Yale School of Music; Yale College,,Grand Teton Music Festival; Aspen Music Festival; Norfolk Music Festival; Chigiana Music Festival,Hofstra String Quartet,Hofstra String Quartet,1988
Elizabeth Zeltser,Violin,Dorothy DeLay; Glenn Dicterow; Yoko Takebe,The Juilliard School; Moscow Conservatory; Manhattan School of Music,Juilliard Concerto Competition,European tour in Austria and Hungary,,,2003
Yulia Ziskel,violin,Not specified,Indiana University; The Juilliard School,,The 92nd Street Y; Museum of Arts and Design; Merkin Hall; Classic@Home; NY Phil Bandwagon,New York Philharmonic Ensembles,Not specified,2001
Andi Zhang,Violinist,Pinchas Zukerman; Patinka Kopec; Lin Yaoji; Joel Smirnoff,Manhattan School of Music; China Central Conservatory of Music; The Juilliard School,2016 Alice & Eleonore Schoenfeld International String Competition (First Prize); 2010 Stradivarius International Violin Competition (Second Place); 2009 National Chinese Violin Competition (First Place); 2006 Wenhua National Violin Competition (Third Place),,,,2019
Qianqian Li,violinist,Donald Weilerstein; Malcolm Lowe; Lina Yu,New England Conservatory,Kazakhstans inaugural International Violin Competition,Aspen; Tanglewood; Yellow Barn; Sarasota,New York Philharmonic String Quartet; Clara Piano Trio,Frank Huang; Cynthia Phelps; Carter Brey; Sir Andrs Schiff; Beatrice Rana; Roger Tapping; Natasha Brofsky; Brett Dean; Gilbert Kalish; Curtis Macomber,2017
Lisa Eunsoo Kim,Violinist,Elaine Richey; Glenn Dicterow,North Carolina School of the Arts; The Juilliard School,Arts Recognition and Talent Search; Bryan Young Artists String Competition; Winston-Salem Young Talent Search; Durham Symphony Young Artists Competition,New York Philharmonic Ensembles at Merkin Hall; David Geffen Hall; Brooklyns Bargemusic; Hofstra Chamber Ensemble Series; Meadowmount Chamber Music Festival; Bowdoin Chamber Music Festival; Saugatuck Chamber Music Festival,New York Philharmonic Ensembles; Mostly Chamber Festival; Lyric Chamber Music Society,Ani Kavafian; Carter Brey; Glenn Dicterow; Karen Dreyfus; Richard Bishop,1994
